content_id,opening_hours
1884191,※ 일부 출입이 제한되거나 통제되므로 방문 시 전화문의 요망
1884505,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망
1884521,상시 개방
1885746,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망
3026711,상시 개방
1885754,상시 개방
1887368,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망
1887381,상시 개방
635593,09:00~18:00
1887493,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망
1887866,※ 통제될 수 있으므로 방문 시 전화문의 요망
127050,상시 개방
2779517,상시 개방
1887873,"상시 개방<br>
※ 일부 통제될 수 있으므로 방문 시 전화문의 요망"
1889809,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망
1889833,"상시 개방<br>
※ 자세한 사항은 전화문의 요망"
1890152,상시 개방
1918646,※ 일부 통제될 수 있으므로 방문 시 전화문의 요망
127051,상시 개방<br>※ 일부 출입이 통제될 수 있으므로 방문 시 전화문의 요망
2791433,상시 개방
2779522,상시 개방
2759120,10:00~22:00
127870,상시 개방
126460,09:00~18:00
778296,상시 개방
2564158,상시 개방
1918950,상시 개방
128443,상시 개방
1918984,상시 개방
2781394,상시 개방
1621059,상시 개방
2779527,상시 개방
129073,체험별 상이
2738659,상시 개방
2765234,"상시 개방<br>
※ 일부 통제될 수 있으므로 방문 시 전화문의 요망"
1960087,상시 개방
2765293,09:00~17:00
127860,08:30~17:30
2946074,상시 개방
2027184,상시 개방
129699,상시 개방
600584,"[사우나] 06:00~21:00<br>
[아쿠아나]<br>
- 실내 10:00~18:00<br>
- 야외 12:00~17:00"
2863615,상시 개방
127046,"09:00~17:50 (입장 마감 17:00)<br>
※ 계절별로 상이하니 자세한 시간은 매표소 문의"
2781326,상시 개방
2863882,상시 개방
128444,09:00~17:00
2516416,"- 09:00~17:00<br>
- 휴게시간 12:00~13:00<br>
- 입장 마감 16:30"
128795,상시 개방
2472824,10:00~18:00 (입장 마감 17:30)
2704456,09:00~18:00
2778890,상시 개방
1993734,상시 개방
